Stone_ID,Area,bbox,Centroid_X,Centroid_Y,is_structural,Tier,mask_index,Horizontal_Rank
5,190315,"[0, 1365, 406, 536]",203.0,1633.0,True,1,4,1
3,336296,"[353, 1369, 646, 548]",676.0,1643.0,True,1,2,2
4,284445,"[996, 1367, 572, 541]",1282.0,1637.5,True,1,3,3
1,190819,"[1520, 1389, 433, 515]",1736.5,1646.5,True,1,0,4
2,48136,"[1890, 1384, 157, 485]",1968.5,1626.5,False,1,1,5
9,24231,"[0, 970, 89, 389]",44.5,1164.5,False,2,8,1
8,165905,"[58, 972, 479, 390]",297.5,1167.0,True,2,7,2
6,187847,"[510, 975, 518, 388]",769.0,1169.0,True,2,5,3
7,226139,"[1030, 975, 644, 384]",1352.0,1167.0,True,2,6,4
10,164107,"[1664, 890, 383, 489]",1855.5,1134.5,True,2,9,5
11,23701,"[1612, 808, 231, 166]",1727.5,891.0,False,3,10,1
14,128836,"[722, 660, 430, 326]",937.0,823.0,True,4,13,1
13,102843,"[1150, 697, 406, 283]",1353.0,838.5,True,4,12,2
12,18139,"[1552, 741, 169, 177]",1636.5,829.5,False,4,11,3
16,22447,"[0, 621, 109, 343]",54.5,792.5,False,5,15,1
15,192603,"[87, 628, 602, 350]",388.0,803.0,True,5,14,2
17,61876,"[1237, 471, 358, 241]",1416.0,591.5,False,6,16,1
23,201392,"[1502, 328, 545, 585]",1774.5,620.5,True,6,22,2
20,55103,"[0, 438, 308, 209]",154.0,542.5,False,7,19,1
19,69194,"[303, 446, 374, 214]",490.0,553.0,False,7,18,2
18,113566,"[680, 449, 524, 251]",942.0,574.5,True,7,17,3
22,41841,"[1019, 330, 415, 219]",1226.5,439.5,False,8,21,1
21,15108,"[1434, 349, 152, 158]",1510.0,428.0,False,8,20,2
29,36342,"[0, 296, 265, 153]",132.5,372.5,False,9,28,1
27,24443,"[256, 318, 206, 141]",359.0,388.5,False,9,26,2
26,22942,"[448, 323, 201, 126]",548.5,386.0,False,9,25,3
25,25442,"[647, 327, 225, 136]",759.5,395.0,False,9,24,4
28,19693,"[864, 301, 146, 149]",937.0,375.5,False,9,27,5
24,19217,"[1012, 327, 167, 125]",1095.5,389.5,False,9,23,6
33,17814,"[1347, 238, 191, 132]",1442.5,304.0,False,10,32,1
36,21867,"[1532, 213, 203, 138]",1633.5,282.0,False,10,35,2
30,9675,"[555, 271, 243, 65]",676.5,303.5,False,11,29,1
31,9988,"[17, 254, 235, 56]",134.5,282.0,False,12,30,1
32,12885,"[245, 253, 218, 77]",354.0,291.5,False,12,31,2
35,7186,"[864, 232, 140, 65]",934.0,264.5,False,13,34,1
34,14490,"[1006, 237, 238, 68]",1125.0,271.0,False,13,33,2
37,4101,"[1244, 191, 58, 107]",1273.0,244.5,False,13,36,3
38,16382,"[1261, 177, 188, 118]",1355.0,236.0,False,13,37,4
39,10340,"[1450, 176, 251, 59]",1575.5,205.5,False,13,38,5
40,16804,"[1007, 151, 235, 93]",1124.5,197.5,False,14,39,1
