Stone_ID,Area,bbox,Centroid_X,Centroid_Y,is_structural,Tier,mask_index,Horizontal_Rank
45,139039,"[0, 0, 1103, 136]",551.5,68.0,False,1,44,1
42,35665,"[3786, 0, 245, 146]",3908.5,73.0,False,2,41,1
43,179209,"[1156, 0, 1268, 145]",1790.0,72.5,False,3,42,1
46,180862,"[1156, 0, 2559, 145]",2435.5,72.5,False,3,45,2
44,186129,"[2467, 0, 1270, 149]",3102.0,74.5,False,3,43,3
41,145634,"[0, 187, 467, 315]",233.5,344.5,False,4,40,1
40,402282,"[515, 200, 1276, 323]",1153.0,361.5,True,5,39,1
38,394355,"[1848, 209, 1258, 318]",2477.0,368.0,True,6,37,1
39,400286,"[1847, 207, 1932, 324]",2813.0,369.0,True,6,38,2
37,273321,"[3161, 211, 870, 326]",3596.0,374.0,False,6,36,3
36,394518,"[1161, 224, 1937, 685]",2129.5,566.5,True,7,35,1
35,352536,"[0, 578, 1114, 323]",557.0,739.5,True,8,34,1
34,387651,"[570, 586, 1854, 317]",1497.0,744.5,True,8,33,2
33,389129,"[1162, 586, 1262, 322]",1793.0,747.0,True,8,32,3
32,397483,"[2473, 597, 1272, 320]",3109.0,757.0,True,9,31,1
31,74355,"[3791, 602, 240, 313]",3911.0,758.5,False,10,30,1
28,145863,"[0, 969, 463, 318]",231.5,1128.0,False,11,27,1
29,401506,"[515, 966, 1272, 320]",1151.0,1126.0,True,12,28,1
30,401533,"[515, 966, 2539, 320]",1784.5,1126.0,True,12,29,2
27,398559,"[1827, 975, 1274, 319]",2464.0,1134.5,True,12,26,3
26,275586,"[3152, 981, 879, 316]",3591.5,1139.0,False,13,25,1
21,72595,"[3799, 1359, 232, 315]",3915.0,1516.5,False,14,20,1
24,353678,"[0, 1357, 1110, 323]",555.0,1518.5,True,15,23,1
22,407356,"[1159, 1359, 1280, 325]",1799.0,1521.5,True,16,21,1
23,407157,"[1159, 1359, 1968, 325]",2143.0,1521.5,True,16,22,2
25,391371,"[2490, 1357, 1263, 324]",3121.5,1519.0,True,16,24,3
20,282642,"[3149, 1373, 882, 691]",3590.0,1718.5,False,17,19,1
19,283512,"[3147, 1739, 884, 326]",3589.0,1902.0,False,18,18,1
18,397539,"[509, 1744, 1270, 318]",1144.0,1903.0,True,19,17,1
16,143869,"[0, 1748, 455, 318]",227.5,1907.0,False,20,15,1
17,398617,"[1830, 1745, 1262, 326]",2461.0,1908.0,True,21,16,1
13,348883,"[0, 2125, 1099, 328]",549.5,2289.0,True,22,12,1
14,404963,"[1150, 2124, 1275, 326]",1787.5,2287.0,True,23,13,1
15,408167,"[1149, 2124, 1943, 327]",2120.5,2287.5,True,23,14,2
12,399369,"[2473, 2131, 1270, 323]",3108.0,2292.5,True,23,11,3
11,74878,"[3795, 2140, 236, 322]",3913.0,2301.0,False,24,10,1
10,406681,"[499, 2502, 1283, 337]",1140.5,2670.5,True,25,9,1
9,410497,"[1838, 2507, 1273, 333]",2474.5,2673.5,True,26,8,1
7,138324,"[0, 2520, 437, 320]",218.5,2680.0,False,27,6,1
8,278531,"[3166, 2518, 865, 326]",3598.5,2681.0,False,28,7,1
2,127427,"[0, 2900, 1108, 123]",554.0,2961.5,False,29,1,1
5,287488,"[0, 2887, 2425, 136]",1212.5,2955.0,False,29,4,2
4,164503,"[1156, 2887, 1267, 136]",1789.5,2955.0,False,29,3,3
6,7371,"[2427, 2881, 56, 142]",2455.0,2952.0,False,29,5,4
3,143768,"[2484, 2894, 1269, 129]",3118.5,2958.5,False,29,2,5
1,25797,"[3804, 2907, 227, 116]",3917.5,2965.0,False,30,0,1
