Stone_ID,Area,bbox,Centroid_X,Centroid_Y,is_structural,Tier,original_idx,Horizontal_Rank
5,190315,"[0, 1365, 406, 536]",203.0,1633.0,True,1,4,1
3,336296,"[353, 1369, 646, 548]",676.0,1643.0,True,1,2,2
4,284445,"[996, 1367, 572, 541]",1282.0,1637.5,True,1,3,3
1,190819,"[1520, 1389, 433, 515]",1736.5,1646.5,True,1,0,4
2,48136,"[1890, 1384, 157, 485]",1968.5,1626.5,False,1,1,5
10,24231,"[0, 970, 89, 389]",44.5,1164.5,False,2,9,1
8,165905,"[58, 972, 479, 390]",297.5,1167.0,True,2,7,2
9,166853,"[57, 972, 964, 391]",539.0,1167.5,True,2,8,3
6,187847,"[510, 975, 518, 388]",769.0,1169.0,True,2,5,4
7,226139,"[1030, 975, 644, 384]",1352.0,1167.0,True,2,6,5
12,164107,"[1664, 890, 383, 489]",1855.5,1134.5,True,2,11,6
24,22447,"[0, 621, 109, 343]",54.5,792.5,False,3,23,1
23,192603,"[87, 628, 602, 350]",388.0,803.0,True,3,22,2
13,7053,"[632, 881, 89, 102]",676.5,932.0,False,3,12,3
14,2367,"[672, 821, 49, 60]",696.5,851.0,False,3,13,4
22,128836,"[722, 660, 430, 326]",937.0,823.0,True,3,21,5
20,4695,"[1131, 696, 83, 106]",1172.5,749.0,False,3,19,6
19,102843,"[1150, 697, 406, 283]",1353.0,838.5,True,3,18,7
21,6213,"[1497, 694, 114, 98]",1554.0,743.0,False,3,20,8
16,1502,"[1546, 788, 32, 64]",1562.0,820.0,False,3,15,9
11,2996,"[1554, 918, 57, 60]",1582.5,948.0,False,3,10,10
18,18139,"[1552, 741, 169, 177]",1636.5,829.5,False,3,17,11
15,23701,"[1612, 808, 231, 166]",1727.5,891.0,False,3,14,12
17,1931,"[1716, 784, 67, 50]",1749.5,809.0,False,3,16,13
30,165185,"[1662, 393, 385, 987]",1854.5,886.5,True,3,29,14
40,36342,"[0, 296, 265, 153]",132.5,372.5,False,4,39,1
43,9988,"[17, 254, 235, 56]",134.5,282.0,False,4,42,2
29,55103,"[0, 438, 308, 209]",154.0,542.5,False,4,28,3
44,12885,"[245, 253, 218, 77]",354.0,291.5,False,4,43,4
38,24443,"[256, 318, 206, 141]",359.0,388.5,False,4,37,5
28,69194,"[303, 446, 374, 214]",490.0,553.0,False,4,27,6
37,22942,"[448, 323, 201, 126]",548.5,386.0,False,4,36,7
41,1493,"[528, 273, 46, 38]",551.0,292.0,False,4,40,8
42,9675,"[555, 271, 243, 65]",676.5,303.5,False,4,41,9
36,25442,"[647, 327, 225, 136]",759.5,395.0,False,4,35,10
47,7186,"[864, 232, 140, 65]",934.0,264.5,False,4,46,11
39,19693,"[864, 301, 146, 149]",937.0,375.5,False,4,38,12
27,113566,"[680, 449, 524, 251]",942.0,574.5,True,4,26,13
35,19217,"[1012, 327, 167, 125]",1095.5,389.5,False,4,34,14
53,33423,"[1005, 151, 238, 154]",1124.0,228.0,False,4,52,15
54,16804,"[1007, 151, 235, 93]",1124.5,197.5,False,4,53,16
46,14490,"[1006, 237, 238, 68]",1125.0,271.0,False,4,45,17
26,5016,"[1096, 452, 104, 83]",1148.0,493.5,False,4,25,18
33,41841,"[1019, 330, 415, 219]",1226.5,439.5,False,4,32,19
49,4101,"[1244, 191, 58, 107]",1273.0,244.5,False,4,48,20
32,41669,"[1181, 330, 253, 217]",1307.5,438.5,False,4,31,21
50,16382,"[1261, 177, 188, 118]",1355.0,236.0,False,4,49,22
25,61876,"[1237, 471, 358, 241]",1416.0,591.5,False,4,24,23
45,17814,"[1347, 238, 191, 132]",1442.5,304.0,False,4,44,24
51,2607,"[1447, 177, 61, 62]",1477.5,208.0,False,4,50,25
31,15108,"[1434, 349, 152, 158]",1510.0,428.0,False,4,30,26
52,10340,"[1450, 176, 251, 59]",1575.5,205.5,False,4,51,27
48,21867,"[1532, 213, 203, 138]",1633.5,282.0,False,4,47,28
34,201392,"[1502, 328, 545, 585]",1774.5,620.5,True,4,33,29
